Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,,Transporter-1,0,LEO,SpaceX,"Success
",F9 v1.07B0003.18,Failure,4 June 2010,18:45
2,,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.07B0004.18,Failure,8 December 2010,15:43
3,,Dragon Spacecraft Qualification Unit,525 kg,LEO,NASA,Success,F9 v1.07B0005.18,"No attempt
",22 May 2012,07:44
4,,Dragon,"4,700 kg",LEO,NASA,"Success
",F9 v1.07B0006.18,No attempt,8 October 2012,00:35
5,,Dragon,"4,877 kg",LEO,NASA,"Success
",F9 v1.07B0007.18,"No attempt
",1 March 2013,15:10
6,,Dragon,500 kg,Polar orbit,MDA,Success,F9 v1.17B10038,Uncontrolled,29 September 2013,16:00
7,,Dragon,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,,SpaceX CRS-1,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,22:06
9,,SpaceX CRS-1,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,18 April 2014,19:25
10,,SpaceX CRS-2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:15
11,,SpaceX CRS-2,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00
12,,CASSIOPE,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1[,"No attempt
",7 September 2014,05:00
13,,CASSIOPE,"2,216 kg",LEO,NASA,Success,F9 v1.1[,Uncontrolled,21 September 2014,05:52
14,,SES-8,"2,395 kg",LEO,NASA,Success,F9 v1.1[,Failure ,10 January 2015,09:47
15,,SES-8,570 kg,HEO,USAF,"Success
",F9 v1.1[,Controlled,11 February 2015,23:03
16,,Thaicom 6,"4,159 kg",GTO,ABS,"Success
",F9 v1.1[,No attempt,2 March 2015,03:50
17,,Thaicom 6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1[,Failure,14 April 2015,20:10
18,,SpaceX CRS-3,"4,707 kg",GTO,,"Success
",F9 v1.1[,No attempt,27 April 2015,23:03
19,,SpaceX CRS-3,"1,952 kg",LEO,NASA,Failure,F9 v1.1[,Precluded,28 June 2015,14:21
20,,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT[,Success,22 December 2015,01:29
21,,Orbcomm-OG2,553 kg,LEO,NASA,"Success
",F9 v1.1[,Failure,17 January 2016,18:42
22,,AsiaSat 8,"5,271 kg",GTO,SES,"Success
",F9 FT[,Failure,4 March 2016,23:35
23,,AsiaSat 8,"3,136 kg",LEO,NASA,Success,F9 FT[,Success,8 April 2016,20:43
24,,AsiaSat 6,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,6 May 2016,05:21
25,,AsiaSat 6,"3,100 kg",GTO,Thaicom,"Success
",F9 FT[,Success,27 May 2016,21:39
26,,SpaceX CRS-4,"3,600 kg",GTO,ABS,"Success
",F9 FT[,Failure,15 June 2016,14:29
27,,SpaceX CRS-4,"2,257 kg",LEO,NASA,"Success
",F9 FT[,Success,18 July 2016,04:45
28,,SpaceX CRS-5,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,14 August 2016,05:26
29,,SpaceX CRS-5,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT[,Success,14 January 2017,17:54
30,,DSCOVR,"2,490 kg",LEO,NASA,"Success
",F9 FT[,Success,19 February 2017,14:39
31,,DSCOVR,"5,600 kg",GTO,EchoStar,"Success
",F9 FT[,No attempt,16 March 2017,06:00
32,,ABS-3A,"5,300 kg",GTO,SES,Success,F9 FT♺[,Success,30 March 2017,22:27
33,,ABS-3A,C,LEO,NRO,"Success
",F9 FT[,Success,1 May 2017,11:15
34,,SpaceX CRS-6,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT[,No attempt,15 May 2017,23:21
35,,SpaceX CRS-6,"2,708 kg",LEO,NASA,"Success
",F9 FT[,Success,3 June 2017,21:07
36,,TürkmenÄlem 52°E / MonacoSAT,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FTB1029.2195,Success,23 June 2017,19:10
37,,TürkmenÄlem 52°E / MonacoSAT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT[,Success,25 June 2017,20:25
38,,SpaceX CRS-7,"6,761 kg",GTO,Intelsat,"Success
",F9 FT[,No attempt,5 July 2017,23:38
39,,SpaceX CRS-7,"3,310 kg",LEO,NASA,"Success
",F9 B4[,Success,14 August 2017,16:31
40,,Orbcomm-OG2,475 kg,SSO,NSPO,"Success
",F9 FT[,Success,24 August 2017,18:51
41,,Orbcomm-OG2,"4,990 kg",LEO,USAF,"Success
",F9 B4[,Success,7 September 2017,14:00
42,,Jason-3,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4[,Success,9 October 2017,12:37
43,,Jason-3,"5,200 kg",GTO,SES S.A.,"Success
",F9 FTB1031.2220,Success,11 October 2017,22:53:00
44,,SES-9,"3,500 kg",GTO,KT Corporation,"Success
",F9 B4[,Success,30 October 2017,19:34
45,,SES-9,"2,205 kg",LEO,NASA,"Success
",F9 FTB1035.2227,Success,15 December 2017,15:36
46,,SpaceX CRS-8,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1036.2227,Controlled,23 December 2017,01:27
47,,SpaceX CRS-8,C,LEO,Northrop Grumman,Success,F9 B4[,Success,8 January 2018,01:00
